	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Eif1	1.514967441558838	83.49442514369913	5.461297665177866e-18	6.438353268390098e-08	1.4873495828889791e-15	5.542782724830756e-06	1.0
Marcks	1.5016775131225586	83.49421196312105	5.461873006086452e-18	1.5234456265917118e-06	4.246003248728148e-17	2.3666834145755164e-07	1.0
Acin1	1.5564501285552979	83.48013777203793	5.499991399555212e-18	6.466580075266524e-08	5.683748047971411e-07	0.00033500047368960947	1.0
Srsf5	1.5966092348098755	83.41521569907502	5.679297642215663e-18	3.626411230044525e-08	6.852808161980572e-09	0.00013472771315088474	1.0
Nhlrc3	1.6495506763458252	83.38237866120885	5.772202834618803e-18	0.00017222412343544856	8.152162885774112e-07	2.636505570533297e-08	1.0
Rps25	1.6628623008728027	83.34885381821228	5.868621631037808e-18	3.61098875508064e-09	5.0598879029459204e-08	2.965152793352833e-05	1.0
Tomm20	1.662412166595459	82.53413629289362	8.777410856158113e-18	1.4803327035691964e-06	4.753599820197092e-10	2.1160052921571057e-10	1.0
Basp1	1.5514646768569946	81.88173303738685	1.2115774254375884e-17	0.00037752582593388	4.032381527980923e-11	9.191015403278297e-07	1.0
Icam1	1.5771349668502808	81.76902600515776	1.2809528642654488e-17	0.0002630872905498276	1.8758863549108792e-10	3.376638577020834e-07	1.0
Hlx	1.5643028020858765	81.57964416650535	1.4065827372483805e-17	1.9234005516295814e-06	3.984806072672218e-06	0.0029818583379722314	1.0
Mdh2	1.592382788658142	81.56277376793132	1.418354517490284e-17	6.647412523459668e-07	0.0006556059398423174	0.0024137261456902252	1.0
Pfdn5	1.6015819311141968	81.30704135790472	1.609350466672412e-17	2.359184601876645e-08	8.28172458466747e-10	6.071111680457561e-05	1.0
Mllt6	1.6517077684402466	80.877868454096	1.9894015827144223e-17	1.3703161323066472e-05	1.0767293484832308e-09	3.139217101081183e-09	1.0
Usp3	1.6190977096557617	80.8321870681451	2.0348026291454087e-17	6.48380803885965e-10	4.784688074958831e-06	8.067170097183228e-06	1.0
Zbp1	1.5059176683425903	80.24308097830423	2.7220414474936635e-17	9.862350996972513e-06	1.2457432063369936e-12	0.0009181634046714478	1.0
Bcl2a1b	1.6375789642333984	79.60958502539278	3.722005817089158e-17	1.5443398488468393e-06	2.2351184813806295e-13	4.389234482052808e-09	1.0
Csk	1.6143181324005127	79.52572691304496	3.87938869230363e-17	9.404093049206928e-08	2.2195904477818512e-05	0.00044092040503849404	1.0
Rplp1	1.6529572010040283	79.024459024537	4.9690409163165345e-17	3.334143264348104e-06	9.213957837755185e-06	0.003988906495734214	1.0
Adipor1	1.588619351387024	78.28184265098561	7.170173614375146e-17	6.892760433949188e-07	3.306870575514685e-07	0.0011952896973791225	1.0
Cpt1a	1.6055095195770264	77.76374063043046	9.260357691141241e-17	2.4787120256227712e-06	0.0011987090172351322	0.005004671311693871	1.0
9930022D16Rik	1.5336158275604248	77.3993979536708	1.1085347565369307e-16	0.008551408272011576	1.1766636105591454e-05	1.1766636105591454e-05	1.0
Fam20c	1.6912084817886353	77.1474263057223	1.2553760654901576e-16	3.07249245564521e-05	2.275172811059804e-06	5.005784222182785e-09	1.0
Tm9sf3	1.537916898727417	75.71190510763253	2.549866502752004e-16	1.365057945650413e-06	3.877349847914464e-07	0.0016358732462085808	1.0
Map1lc3b	1.5588490962982178	74.62565440824149	4.3584906242982416e-16	2.1405794350609215e-08	4.191754353167802e-15	6.926479560834339e-07	1.0
Ywhag	1.5893279314041138	74.20032975063336	5.37632012030855e-16	0.0008464988732308355	6.920276112295512e-08	8.940276409721623e-07	1.0
Rps23	1.6975605487823486	72.81211505237522	1.0664446071411864e-15	9.676658796763613e-12	9.91737245207573e-09	2.7468267786326527e-08	1.0
Ncf1	1.5870938301086426	72.52781602704475	1.2270040507184563e-15	7.1030711283534794e-09	1.1301049897295232e-12	1.7127017367504876e-06	1.0
Mapkapk2	1.5038232803344727	72.42426878570586	1.2913054386411495e-15	3.1735139613913665e-07	7.42118945245936e-16	3.1735139613913665e-07	1.0
Maff	1.5750607252120972	72.22998349339683	1.4211819766801966e-15	0.002172596895894493	6.95700157249818e-09	7.812057464060199e-06	1.0
Frrs1	1.6819313764572144	71.89274011268253	1.6783866531628416e-15	4.894934352912911e-05	1.0972991467248707e-05	1.366958437947675e-08	1.0
Rplp2	1.6954433917999268	70.85228645165861	2.8037756839098877e-15	4.904607895759548e-10	3.008774323245853e-08	8.078886050666743e-07	1.0
Rbm39	1.5557355880737305	70.42367149908192	3.4636502147447954e-15	7.048280137437576e-07	4.334139493570576e-08	0.0005290412098899426	1.0
Psme2	1.5027015209197998	70.07237499588994	4.118706568598819e-15	2.830354593348613e-05	8.292038377209732e-14	2.335758273418936e-06	1.0
Fam50a	1.666073203086853	69.97704717226358	4.3169151820568515e-15	1.783731567810912e-06	1.2839369351969111e-08	1.56667444654349e-09	1.0
Gpr146	1.6237549781799316	69.29379703416993	6.0459907894421855e-15	2.0567835834775133e-06	0.0007710590676230636	0.002590782086395332	1.0
Rpl9	1.6875776052474976	69.14061473192935	6.520236557974102e-15	5.805195816014695e-11	1.1038132339348085e-09	6.835424857900826e-08	1.0
4933434E20Rik	1.54142165184021	68.84092086511649	7.558297656248582e-15	0.005603246785369343	3.3513593726257534e-06	1.193921520690344e-05	1.0
Hnrnpf	1.6620701551437378	68.82050038362739	7.634763959864935e-15	0.00014903296334221468	1.2742884724466912e-07	1.2774429004741315e-07	1.0
Lasp1	1.5549815893173218	68.73540945133567	7.961808289409387e-15	0.0007495918369975835	1.1291447524859979e-08	1.5508575394493172e-06	1.0
Neat1	1.6149238348007202	67.61721558160669	1.3815384211296161e-14	2.9300483723152013e-06	6.617125664332669e-13	4.955426091705675e-08	1.0
